"domain","alt_set","overall_cor_dim1","overall_cor_dim2","min_period_cor_dim1","mean_period_cor_dim1","trend_cor_dim1"
"arms_control","Alt1",0.712358669092569,0.558041671078259,0.686148875036899,0.737834404541561,0.935459563048935
"arms_control","Alt2",0.53697515567147,-0.586757315004758,-0.147095667925277,0.189077178529213,0.985008492387767
"environment","Alt1",0.9290635037078,0.916870128533948,0.923092348776888,0.929246748774108,0.815864648635088
"environment","Alt2",0.98045311065102,0.97712072382544,0.967881929514583,0.979432109421162,0.992581478953135
"human_rights","Alt1",-0.872016199251287,0.924748389113203,-0.952760692858699,-0.851872973076565,-0.333742775376448
"human_rights","Alt2",0.925824199653551,0.946175422583731,0.876292882325514,0.922554435162991,0.87447990019197
"intellectual_property","Alt1",0.980376899895812,0.938549792424664,0.97817389718017,0.981397821268467,0.240834915280624
"intellectual_property","Alt2",0.953682613778403,0.958952534425071,0.941427894921711,0.952555806873484,0.935052417348642
"investment","Alt1",0.996067475909907,0.968717261316821,0.991932209742009,0.995879829523612,0.999533408448882
"investment","Alt2",0.991108468537775,0.96081014620816,0.984108174778928,0.991181370835372,0.999653681828652
"security","Alt1",0.988150832080713,0.946859973791781,0.987692246521,0.988756250650814,0.968167611530082
"security","Alt2",0.955507790306825,0.925929784210857,0.952378162198599,0.956110680450222,0.0538787585487728
