"eif_year","region","countries"
1990,"Africa",12
1990,"Americas",14
1990,"Asia",14
1990,"Europe",14
1990,"Oceania",7
1991,"Africa",9
1991,"Americas",12
1991,"Asia",15
1991,"Europe",7
1991,"Oceania",6
1992,"Africa",13
1992,"Americas",12
1992,"Asia",17
1992,"Europe",10
1992,"Oceania",8
1993,"Africa",22
1993,"Americas",18
1993,"Asia",30
1993,"Europe",21
1993,"Oceania",8
1993,"Other/Unknown",1
1994,"Africa",24
1994,"Americas",27
1994,"Asia",28
1994,"Europe",24
1994,"Oceania",16
1995,"Africa",19
1995,"Americas",20
1995,"Asia",27
1995,"Europe",23
1995,"Oceania",12
1996,"Africa",18
1996,"Americas",20
1996,"Asia",19
1996,"Europe",17
1996,"Oceania",10
1996,"Other/Unknown",1
1997,"Africa",18
1997,"Americas",20
1997,"Asia",27
1997,"Europe",25
1997,"Oceania",12
1998,"Africa",19
1998,"Americas",25
1998,"Asia",29
1998,"Europe",25
1998,"Oceania",12
1999,"Africa",19
1999,"Americas",23
1999,"Asia",28
1999,"Europe",22
1999,"Oceania",13
2000,"Africa",19
2000,"Americas",19
2000,"Asia",28
2000,"Europe",27
2000,"Oceania",12
2000,"Other/Unknown",1
2001,"Africa",31
2001,"Americas",29
2001,"Asia",34
2001,"Europe",33
2001,"Oceania",13
2001,"Other/Unknown",1
2002,"Africa",24
2002,"Americas",24
2002,"Asia",29
2002,"Europe",27
2002,"Oceania",14
2002,"Other/Unknown",1
2003,"Africa",41
2003,"Americas",34
2003,"Asia",36
2003,"Europe",32
2003,"Oceania",17
2003,"Other/Unknown",1
2004,"Africa",22
2004,"Americas",20
2004,"Asia",30
2004,"Europe",27
2004,"Oceania",12
2004,"Other/Unknown",1
2005,"Africa",18
2005,"Americas",17
2005,"Asia",34
2005,"Europe",22
2005,"Oceania",12
2005,"Other/Unknown",1
2006,"Africa",23
2006,"Americas",21
2006,"Asia",30
2006,"Europe",26
2006,"Oceania",12
2007,"Africa",13
2007,"Americas",13
2007,"Asia",21
2007,"Europe",22
2007,"Oceania",10
2007,"Other/Unknown",1
2008,"Africa",14
2008,"Americas",19
2008,"Asia",25
2008,"Europe",19
2008,"Oceania",12
2009,"Africa",24
2009,"Americas",24
2009,"Asia",30
2009,"Europe",28
2009,"Oceania",16
2009,"Other/Unknown",1
2010,"Africa",17
2010,"Americas",23
2010,"Asia",28
2010,"Europe",19
2010,"Oceania",9
2010,"Other/Unknown",1
2011,"Africa",18
2011,"Americas",15
2011,"Asia",23
2011,"Europe",16
2011,"Oceania",6
2012,"Africa",12
2012,"Americas",9
2012,"Asia",15
2012,"Europe",15
2012,"Oceania",8
2012,"Other/Unknown",1
2013,"Africa",22
2013,"Americas",18
2013,"Asia",21
2013,"Europe",19
2013,"Oceania",10
2013,"Other/Unknown",1
2014,"Africa",17
2014,"Americas",17
2014,"Asia",23
2014,"Europe",16
2014,"Oceania",4
2015,"Africa",15
2015,"Americas",12
2015,"Asia",22
2015,"Europe",18
2015,"Oceania",7
2016,"Africa",14
2016,"Americas",17
2016,"Asia",20
2016,"Europe",14
2016,"Oceania",7
2016,"Other/Unknown",1
2017,"Africa",13
2017,"Americas",20
2017,"Asia",15
2017,"Europe",16
2017,"Oceania",10
2018,"Africa",17
2018,"Americas",14
2018,"Asia",16
2018,"Europe",13
2018,"Oceania",5
2019,"Africa",21
2019,"Americas",25
2019,"Asia",23
2019,"Europe",24
2019,"Oceania",16
2020,"Africa",17
2020,"Americas",16
2020,"Asia",20
2020,"Europe",18
2020,"Oceania",2
2021,"Africa",18
2021,"Americas",16
2021,"Asia",15
2021,"Europe",19
2021,"Oceania",8
2022,"Africa",14
2022,"Americas",11
2022,"Asia",17
2022,"Europe",12
2022,"Oceania",5
2023,"Africa",3
2023,"Americas",4
2023,"Asia",5
2023,"Europe",3
2023,"Oceania",1
2024,"Africa",15
2024,"Americas",13
2024,"Asia",15
2024,"Europe",17
2024,"Oceania",6
2025,"Africa",8
2025,"Americas",8
2025,"Asia",8
2025,"Europe",4
2025,"Oceania",3
