"signature_year","region","countries"
1990,"Africa",11
1990,"Americas",13
1990,"Asia",19
1990,"Europe",10
1990,"Oceania",7
1991,"Africa",19
1991,"Americas",22
1991,"Asia",24
1991,"Europe",20
1991,"Oceania",14
1992,"Africa",25
1992,"Americas",19
1992,"Asia",29
1992,"Europe",22
1992,"Oceania",9
1992,"Other/Unknown",1
1993,"Africa",20
1993,"Americas",23
1993,"Asia",28
1993,"Europe",21
1993,"Oceania",15
1993,"Other/Unknown",1
1994,"Africa",21
1994,"Americas",24
1994,"Asia",28
1994,"Europe",25
1994,"Oceania",13
1994,"Other/Unknown",1
1995,"Africa",22
1995,"Americas",23
1995,"Asia",28
1995,"Europe",22
1995,"Oceania",14
1995,"Other/Unknown",1
1996,"Africa",20
1996,"Americas",25
1996,"Asia",28
1996,"Europe",25
1996,"Oceania",9
1997,"Africa",22
1997,"Americas",21
1997,"Asia",31
1997,"Europe",25
1997,"Oceania",17
1998,"Africa",30
1998,"Americas",28
1998,"Asia",32
1998,"Europe",27
1998,"Oceania",18
1998,"Other/Unknown",1
1999,"Africa",26
1999,"Americas",24
1999,"Asia",30
1999,"Europe",25
1999,"Oceania",14
1999,"Other/Unknown",1
2000,"Africa",40
2000,"Americas",36
2000,"Asia",39
2000,"Europe",33
2000,"Oceania",20
2000,"Other/Unknown",1
2001,"Africa",31
2001,"Americas",32
2001,"Asia",31
2001,"Europe",35
2001,"Oceania",17
2001,"Other/Unknown",1
2002,"Africa",22
2002,"Americas",25
2002,"Asia",29
2002,"Europe",26
2002,"Oceania",16
2002,"Other/Unknown",1
2003,"Africa",19
2003,"Americas",25
2003,"Asia",33
2003,"Europe",31
2003,"Oceania",17
2004,"Africa",25
2004,"Americas",29
2004,"Asia",34
2004,"Europe",27
2004,"Oceania",16
2004,"Other/Unknown",1
2005,"Africa",21
2005,"Americas",20
2005,"Asia",28
2005,"Europe",20
2005,"Oceania",14
2006,"Africa",22
2006,"Americas",21
2006,"Asia",31
2006,"Europe",26
2006,"Oceania",12
2006,"Other/Unknown",1
2007,"Africa",25
2007,"Americas",19
2007,"Asia",29
2007,"Europe",25
2007,"Oceania",13
2007,"Other/Unknown",1
2008,"Africa",26
2008,"Americas",24
2008,"Asia",34
2008,"Europe",30
2008,"Oceania",14
2008,"Other/Unknown",1
2009,"Africa",22
2009,"Americas",22
2009,"Asia",31
2009,"Europe",27
2009,"Oceania",10
2010,"Africa",18
2010,"Americas",17
2010,"Asia",22
2010,"Europe",16
2010,"Oceania",8
2010,"Other/Unknown",1
2011,"Africa",13
2011,"Americas",10
2011,"Asia",17
2011,"Europe",15
2011,"Oceania",8
2012,"Africa",17
2012,"Americas",19
2012,"Asia",20
2012,"Europe",19
2012,"Oceania",8
2013,"Africa",17
2013,"Americas",11
2013,"Asia",18
2013,"Europe",12
2013,"Oceania",6
2013,"Other/Unknown",1
2014,"Africa",16
2014,"Americas",19
2014,"Asia",23
2014,"Europe",24
2014,"Oceania",10
2015,"Africa",13
2015,"Americas",17
2015,"Asia",23
2015,"Europe",14
2015,"Oceania",9
2016,"Africa",17
2016,"Americas",18
2016,"Asia",19
2016,"Europe",18
2016,"Oceania",9
2017,"Africa",20
2017,"Americas",19
2017,"Asia",23
2017,"Europe",21
2017,"Oceania",8
2018,"Africa",27
2018,"Americas",28
2018,"Asia",28
2018,"Europe",28
2018,"Oceania",16
2019,"Africa",23
2019,"Americas",29
2019,"Asia",24
2019,"Europe",21
2019,"Oceania",9
2019,"Other/Unknown",1
2020,"Africa",14
2020,"Americas",13
2020,"Asia",15
2020,"Europe",15
2020,"Oceania",4
2021,"Africa",8
2021,"Americas",5
2021,"Asia",8
2021,"Europe",10
2021,"Oceania",4
2022,"Africa",9
2022,"Americas",10
2022,"Asia",15
2022,"Europe",14
2022,"Oceania",5
2023,"Africa",39
2023,"Americas",30
2023,"Asia",34
2023,"Europe",31
2023,"Oceania",15
2023,"Other/Unknown",1
2024,"Africa",15
2024,"Americas",16
2024,"Asia",20
2024,"Europe",15
2024,"Oceania",3
2024,"Other/Unknown",1
2025,"Africa",7
2025,"Americas",6
2025,"Asia",8
2025,"Europe",8
2025,"Oceania",6
2026,"Americas",1
2026,"Oceania",2
