"year","region","countries"
1991,"Americas",4
1991,"Asia",2
1991,"Europe",1
1992,"Asia",3
1992,"Europe",27
1993,"Africa",2
1993,"Asia",18
1993,"Europe",33
1994,"Africa",20
1994,"Americas",3
1994,"Asia",4
1994,"Europe",28
1994,"Oceania",4
1995,"Africa",15
1995,"Americas",3
1995,"Asia",11
1995,"Europe",31
1996,"Asia",7
1996,"Europe",16
1997,"Americas",2
1997,"Asia",6
1997,"Europe",27
1998,"Africa",5
1998,"Americas",2
1998,"Asia",17
1998,"Europe",11
1999,"Africa",26
1999,"Americas",12
1999,"Asia",5
1999,"Europe",20
2000,"Africa",29
2000,"Americas",1
2000,"Asia",6
2000,"Europe",7
2001,"Americas",9
2001,"Asia",5
2001,"Europe",7
2001,"Oceania",1
2002,"Americas",4
2002,"Asia",12
2002,"Europe",35
2003,"Africa",1
2003,"Americas",5
2003,"Asia",15
2003,"Europe",28
2003,"Oceania",13
2004,"Africa",6
2004,"Americas",5
2004,"Asia",6
2004,"Europe",35
2004,"Other/Unknown",1
2005,"Africa",2
2005,"Americas",2
2005,"Asia",10
2005,"Europe",2
2005,"Oceania",2
2006,"Africa",1
2006,"Americas",9
2006,"Asia",18
2006,"Europe",7
2006,"Oceania",1
2006,"Other/Unknown",1
2007,"Africa",9
2007,"Americas",1
2007,"Asia",9
2007,"Europe",31
2008,"Americas",21
2008,"Asia",9
2008,"Europe",3
2008,"Oceania",1
2008,"Other/Unknown",1
2009,"Africa",21
2009,"Americas",10
2009,"Asia",8
2009,"Europe",1
2009,"Oceania",5
2010,"Americas",5
2010,"Asia",14
2010,"Europe",3
2010,"Oceania",2
2010,"Other/Unknown",1
2011,"Americas",5
2011,"Asia",15
2011,"Oceania",1
2012,"Africa",5
2012,"Americas",13
2012,"Asia",9
2012,"Europe",6
2013,"Africa",1
2013,"Americas",10
2013,"Asia",7
2013,"Europe",28
2013,"Oceania",2
2013,"Other/Unknown",1
2014,"Africa",1
2014,"Americas",5
2014,"Asia",6
2014,"Europe",4
2014,"Oceania",1
2014,"Other/Unknown",1
2015,"Africa",13
2015,"Americas",4
2015,"Asia",10
2015,"Europe",3
2015,"Oceania",2
2016,"Africa",8
2016,"Americas",5
2016,"Asia",5
2016,"Europe",1
2017,"Africa",1
2017,"Americas",6
2017,"Asia",5
2017,"Europe",2
2018,"Americas",4
2018,"Asia",9
2018,"Europe",1
2018,"Oceania",5
2019,"Africa",53
2019,"Americas",6
2019,"Asia",8
2020,"Americas",7
2020,"Asia",5
2020,"Oceania",13
2021,"Africa",11
2021,"Americas",27
2021,"Asia",19
2021,"Europe",12
2021,"Oceania",4
2022,"Africa",1
2022,"Asia",7
2022,"Oceania",1
2023,"Asia",4
2023,"Europe",1
2023,"Oceania",2
2024,"Africa",1
2024,"Americas",6
2024,"Asia",11
2024,"Europe",6
2024,"Oceania",2
2025,"Americas",1
2025,"Asia",5
2025,"Oceania",2
2026,"Asia",1
2026,"Europe",1
