"Citation: Milewicz, K., Hollway, J., Peacock, C. and Snidal, D., 2018. Beyond Trade: The Expanding Scope of the
Non-trade Agenda in Trade Agreements. Journal of Conflict Resolution 62(4): 743-773.
Corresponding author: Karolina Milewicz (karolina.milewicz@politics.ox.ac.uk)
Version: 2016-01-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NumberSimple,Number,NTI_PTA_numID,NTI_PTA_numID3dig,NTI_PTA_alphaID,Name,Year,FileName,Members,Members_EC,Type_Memb_EC,Fulltext,EntryForceYear,Inactive,InactiveYear,WTOListed,WTO_Name,WTODateNotification,WTOLegalCover,GPTAD_Name,HBAgreement,HBType,HBTypeCode,WTOType,WTOTypeCode,TypeMemb,NumberMS,Dyads,NorthSouth,RegionCon,TypeDepth,Sectoral,Protocol,NTI_preamble,NTI_preamble_corruption,NTI_preamble_labour,NTI_preamble_env,NTI_preamble_HR,NTI_preamble_demo,NTI_preamble_sec,NTI_preamble_others,NTI_preamble_socdevel,NTI_preamble_comments,NTI_corruption,NTI_corruption_comments,NTI_corruption_refMT,NTI_corruption_refMT_comments,NTI_labour,NTI_labour_comments,NTI_labour_refILO,NTI_labour_refILO_comments,NTI_env,NTI_env_comments,NTI_env_refMT,NTI_env_refMT_comments,NTI_HR,NTI_HR_comments,NTI_HR_refMT,NTI_HR_refMT_comments,NTI_demo,NTI_demo_comments,NTI_demo_refMT,NTI_demo_refMT_comments,NTI_sec,NTI_sec_comments,NTI_sec_refMT,NTI_sec_refMT_comments,NTI_others,NTI_comments_general,,,,,,,,,,,,
001,001,001,001,AFG_IND,Afghanistan India,2003,Afghanistan India 2003.pdf,AF-IN,AF-IN,0,1,2003,0,,1,India Afghanistan,08-Mar-10,Enabling Clause,Afghanistan India,Afghanistan-India PTA,PTA_PSA,1,PTA,1,1,2,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,
002,002,002,002,AFRICANCM,African Common Market,1962,African Common Market 1962.pdf,DZ-EG-GH-GN-ML-MA,DZ-EG-GH-GN-ML-MA,0,1,1963,1,NA,1,African Common Market,22914,GATT Art. XXIV,,,,,CU,3,2,6,15,3,3,3,0,0,1,0,0,0,0,0,0,0,1,Full and rewarding employment of human resources; Reference to the spirit and principles of the Casablanca Charter,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,Harmonization of the respective countries' social legislations (Art. 1),,,,,,,,,,,,,
003,003,003,003,AFRICANEC,African Economic Community,1991,African Economic Community 1991.pdf,DZ-AO-BJ-BW-BF-BI-CM-CV-CF-KM-CG-CI-DJ-EG-ET-GQ-GA-GH-GM-GN-GW-KE-LS-LR-LY-MG-MW-ML-MR-MU-MZ-NA-NE-NG-RW-EH-ST-SN-SC-SL-SO-SD-SZ-TZ-TD-TG-TN-UG-ZM-ZW-CD,DZ-AO-BJ-BW-BF-BI-CM-CV-CF-KM-CG-CI-DJ-EG-ET-GQ-GA-GH-GM-GN-GW-KE-LS-LR-LY-MG-MW-ML-MR-MU-MZ-NA-NE-NG-RW-EH-ST-SN-SC-SL-SO-SD-SZ-TZ-TD-TG-TN-UG-ZM-ZW-CD,0,1,1994,0,,0,,,,African Economic Community,,,,,,2,51,1275,3,3,3,0,0,1,0,0,0,0,1,0,1,1,"Mindful of the principles of international law governing relations between States; Considering the “Monrovia Declaration of Commitment on the Guidelines and Measures for National and Collective Self-reliance in Economic and Social Development for the Establishment of a New International Order”; Conscious of our duty to develop and utilise the human and natural resources of the Continent for the general well-being of our peoples in all fields of human endeavour: Considering further the Lagos Plan of Action and the Final Act of Lagos of April 1980 reaffirming our Commitment to establish, by the year 2000, an African Economic Community in order to foster the economic, social and cultural integration of our Continent; Noting the need to share, in a equitable and just manner, the advantages of co-operation among Member States in order to promote a balanced development in all parts of the Continent",0,,0,,1,"Harmonize gradually their labour and social security legislation with a view to eliminating poverty and promoting balanced socio-economic development within the Community; Take necessary measures for the survival and development of the child and the protection of the child against abuse, neglect and exploitation (Art. 72.2)",0,,1,"Notwithstanding the provisions of Articles 30 and 31 of this Treaty, any Member State, having made its intention known to the Secretariat of the Community which shall inform Member States thereof, may impose or continue to impose restrictions or prohibitions affecting: (f) The control of hazardous wastes, nuclear materials, radio-active products or any other material used in the development or exploitation of nuclear energy (exception) (Art. 35.1); Member States shall cooperate in the following fields:
(b) Nuclear energy; (c) New and renewable energy; Member States undertake to promote a healthy environment. To this end, they shall adopt national, regional and continental policies, strategies and programmes and establish appropriate institutions for the protection and enhancement of the environment (Art. 58.1); Member States undertake, individually and collectively, to take every appropriate step to ban the importation and dumping of hazardous wastes in their respective territories. They further undertake to cooperate in the transboundary movement, management and processing of such wastes produced in Africa (Art. 59)",0,,1,"Recognition, promotion and protection of human and peoples' rights in accordance with the provisions of the African Charter on Human and Peoples' Rights (Art. 3g, p.7); Member States agree to formulate, harmonize, coordinate and establish appropriate policies and mechanisms for the full development of the African woman through the improvement of her economic, social and cultural conditions (Art. 75)",1,Reference to the African Charter on Human and Peoples' Rights (Art. 3g),1,"For example on institution-building: Implementation of the final stage for the setting up of the structure of the Pan-African Parliament and election of its members by continental universal suffrage (Art. 6.2); Implementation of the final stage for the setting up of the structures of the executive organs of the Community (Art. 6.2); In order to ensure that the peoples of Africa are fully involved in the economic development and integration of the Continent, there shall be established a Pan-African Parliament (Art. 14.1); The Court of Justice shall ensure the adherence to law in the interpretation and application of this Treaty and shall decide on disputes submitted thereto pursuant to this Treaty (Art. 18.2)",0,,1,"Peaceful settlement of disputes among Member States, active co-operation between neighbouring countries and promotion of a peaceful environment as a pre-requisite for economic development (Art. 3f); The objectives of the Community shall be: (c)…to foster close and peaceful relations among Member States (Art. 4.1); Notwithstanding the provisions of Articles 30 and 31 of this Treaty, any Member State, having made its intention known to the Secretariat of the Community which shall inform Member States thereof, may impose or continue to impose restrictions or prohibitions affecting: (a) The application of security laws and regulations; (b) The control of arms, ammunitions and other military items and equipment (exception) (Art. 35.1); ",0,,"Inter-State co-operation, harmonisation of policies and integration of programmes; Promotion of harmonious development of economic activities among Member States (Art. 3); The strengthening of existing regional economic communities and the establishment of other communities where they do not exist (Art. 4.2); The harmonisation of national policies in order to promote Community activities, particularly in the fields of: industry, transport and communications, energy, natural resources, money and finance, human resources, education, culture, science and technology (Art. 4.2); Strengthening of sectoral integration at the regional and continental levels in all areas of activity particularly in the fields of: money and finance, transport and communications, industry and energy (Art. 6.2); Member States shall, in accordance with the Protocol concerning Customs Co-operation, take all necessary measures for harmonising and standardising their customs regulations and procedures in such a manner as shall be appropriate for ensuring the effective implementation of the provisions of this Chapter (Art. 39); Promote technical co-operation and the exchange of experience in the field of industrial technology and implement technical training programmes among Member States (Art. 49); Science and technoloy: Member States shall: (a) Strengthen scientific and technological capabilities in order to bring about the socio-economic transformation required to improve the quality of life of their population; (d) Cooperate in the development, acquisition and dissemination of appropriate technologies; (e) Strengthen existing scientific research institutions and, where they do not exist, establish new institutions. (Art. 51.1); Member states shall: (a) Harmonize, at the Community level, their national policies on scientific and technological research with a view to facilitating their integration into the national economic and social development plans (Art. 51.2); Member States shall coordinate and harmonize their policies and programmes in the field of energy and natural resources (Art. 54.1); promote the continuous training of skilled manpower (Art. 54.2); Promote the integration of transport and communications infrastructure (Art. 61.1); In the field of Posts, Member States undertake to: (a) Establish a Pan-African Postal Network (Art. 63.1); Member States undertake to: (a) Coordinate their efforts and pool their resources in order to promote the exchange of radio and television programmes at bilateral, regional and continental levels (Art. 64.1); The collection, dissemination and exchange of meteorological information at the continental level, particularly with regard to the development of early warning systems for the prevention of natural disasters and for ensuring safety in aerial, coastal and inland navigation (Art. 64.2); The promotion of intra-African tourism (Art. 65.1); Co-operation in the field of education  for the purpose of training persons capable of fostering the changes necessary for enhancing social progress and the development of the Continent (Art. 68.1); On culture: (a) Pursue the objectives of the Cultural Charter for Africa; (b) Promote and propagate endogenous African cultural value; (c) Make every effort to preserve and recover their cultural heritage (Art. 69); Member States agree to cooperate with a view to developing, planning and utilising their human resources (Art 71); Harmonize gradually their labour and social security legislation with a view to eliminating poverty and promoting balanced socio-economic development within the Community (Art. 72.2); Member States agree to promote and increase co-operation among themselves in the field of health (Art. 73); Harmonize efforts to put an end to the illegal production, trafficking and use of narcotic drugs and psychotropic substances (Art. 72.2)",,,,,,,,,,,,,
003,3+1,301,301,AFRICANEC_p1,African Economic Community South Africa accession,1997,,DZ-AO-BJ-BW-BF-BI-CM-CV-CF-KM-CG-CI-DJ-EG-ET-GQ-GA-GH-GM-GN-GW-KE-LS-LR-LY-MG-MW-ML-MR-MU-MZ-NA-NE-NG-RW-EH-ST-SN-SC-SL-SO-SD-SZ-TZ-TD-TG-TN-UG-ZM-ZW-CD-ZA,DZ-AO-BJ-BW-BF-BI-CM-CV-CF-KM-CG-CI-DJ-EG-ET-GQ-GA-GH-GM-GN-GW-KE-LS-LR-LY-MG-MW-ML-MR-MU-MZ-NA-NE-NG-RW-EH-ST-SN-SC-SL-SO-SD-SZ-TZ-TD-TG-TN-UG-ZM-ZW-CD-ZA,0,,,0,,,,,,,,,,,,5,52,51,3,3,3,0,0,1,0,0,0,0,1,0,1,1,"Mindful of the principles of international law governing relations between States; Considering the “Monrovia Declaration of Commitment on the Guidelines and Measures for National and Collective Self-reliance in Economic and Social Development for the Establishment of a New International Order”; Conscious of our duty to develop and utilise the human and natural resources of the Continent for the general well-being of our peoples in all fields of human endeavour: Considering further the Lagos Plan of Action and the Final Act of Lagos of April 1980 reaffirming our Commitment to establish, by the year 2000, an African Economic Community in order to foster the economic, social and cultural integration of our Continent; Noting the need to share, in a equitable and just manner, the advantages of co-operation among Member States in order to promote a balanced development in all parts of the Continent",0,,0,,1,"Harmonize gradually their labour and social security legislation with a view to eliminating poverty and promoting balanced socio-economic development within the Community; Take necessary measures for the survival and development of the child and the protection of the child against abuse, neglect and exploitation (Art. 72.2)",0,,1,"Notwithstanding the provisions of Articles 30 and 31 of this Treaty, any Member State, having made its intention known to the Secretariat of the Community which shall inform Member States thereof, may impose or continue to impose restrictions or prohibitions affecting: (f) The control of hazardous wastes, nuclear materials, radio-active products or any other material used in the development or exploitation of nuclear energy (exception) (Art. 35.1); Member States shall cooperate in the following fields: (b) Nuclear energy; (c) New and renewable energy; Member States undertake to promote a healthy environment. To this end, they shall adopt national, regional and continental policies, strategies and programmes and establish appropriate institutions for the protection and enhancement of the environment (Art. 58.1); Member States undertake, individually and collectively, to take every appropriate step to ban the importation and dumping of hazardous wastes in their respective territories. They further undertake to cooperate in the transboundary movement, management and processing of such wastes produced in Africa (Art. 59)",0,,1,"Recognition, promotion and protection of human and peoples' rights in accordance with the provisions of the African Charter on Human and Peoples' Rights (Art. 3g, p.7); Member States agree to formulate, harmonize, coordinate and establish appropriate policies and mechanisms for the full development of the African woman through the improvement of her economic, social and cultural conditions (Art. 75)",1,Reference to the African Charter on Human and Peoples' Rights (Art. 3g),1,"For example on institution-building: Implementation of the final stage for the setting up of the structure of the Pan-African Parliament and election of its members by continental universal suffrage (Art. 6.2); Implementation of the final stage for the setting up of the structures of the executive organs of the Community (Art. 6.2); In order to ensure that the peoples of Africa are fully involved in the economic development and integration of the Continent, there shall be established a Pan-African Parliament (Art. 14.1); The Court of Justice shall ensure the adherence to law in the interpretation and application of this Treaty and shall decide on disputes submitted thereto pursuant to this Treaty (Art. 18.2)",0,,1,"Peaceful settlement of disputes among Member States, active co-operation between neighbouring countries and promotion of a peaceful environment as a pre-requisite for economic development (Art. 3f); The objectives of the Community shall be: (c)…to foster close and peaceful relations among Member States (Art. 4.1); Notwithstanding the provisions of Articles 30 and 31 of this Treaty, any Member State, having made its intention known to the Secretariat of the Community which shall inform Member States thereof, may impose or continue to impose restrictions or prohibitions affecting: (a) The application of security laws and regulations; (b) The control of arms, ammunitions and other military items and equipment (exception) (Art. 35.1); ",0,,"Inter-State co-operation, harmonisation of policies and integration of programmes; Promotion of harmonious development of economic activities among Member States (Art. 3); The strengthening of existing regional economic communities and the establishment of other communities where they do not exist (Art. 4.2); The harmonisation of national policies in order to promote Community activities, particularly in the fields of: industry, transport and communications, energy, natural resources, money and finance, human resources, education, culture, science and technology (Art. 4.2); Strengthening of sectoral integration at the regional and continental levels in all areas of activity particularly in the fields of: money and finance, transport and communications, industry and energy (Art. 6.2); Member States shall, in accordance with the Protocol concerning Customs Co-operation, take all necessary measures for harmonising and standardising their customs regulations and procedures in such a manner as shall be appropriate for ensuring the effective implementation of the provisions of this Chapter (Art. 39); Promote technical co-operation and the exchange of experience in the field of industrial technology and implement technical training programmes among Member States (Art. 49); Science and technoloy: Member States shall: (a) Strengthen scientific and technological capabilities in order to bring about the socio-economic transformation required to improve the quality of life of their population; (d) Cooperate in the development, acquisition and dissemination of appropriate technologies; (e) Strengthen existing scientific research institutions and, where they do not exist, establish new institutions. (Art. 51.1); Member states shall: (a) Harmonize, at the Community level, their national policies on scientific and technological research with a view to facilitating their integration into the national economic and social development plans (Art. 51.2); Member States shall coordinate and harmonize their policies and programmes in the field of energy and natural resources (Art. 54.1); promote the continuous training of skilled manpower (Art. 54.2); Promote the integration of transport and communications infrastructure (Art. 61.1); In the field of Posts, Member States undertake to: (a) Establish a Pan-African Postal Network (Art. 63.1); Member States undertake to: (a) Coordinate their efforts and pool their resources in order to promote the exchange of radio and television programmes at bilateral, regional and continental levels (Art. 64.1); The collection, dissemination and exchange of meteorological information at the continental level, particularly with regard to the development of early warning systems for the prevention of natural disasters and for ensuring safety in aerial, coastal and inland navigation (Art. 64.2); The promotion of intra-African tourism (Art. 65.1); Co-operation in the field of education  for the purpose of training persons capable of fostering the changes necessary for enhancing social progress and the development of the Continent (Art. 68.1); On culture: (a) Pursue the objectives of the Cultural Charter for Africa; (b) Promote and propagate endogenous African cultural value; (c) Make every effort to preserve and recover their cultural heritage (Art. 69); Member States agree to cooperate with a view to developing, planning and utilising their human resources (Art 71); Harmonize gradually their labour and social security legislation with a view to eliminating poverty and promoting balanced socio-economic development within the Community (Art. 72.2); Member States agree to promote and increase co-operation among themselves in the field of health (Art. 73); Harmonize efforts to put an end to the illegal production, trafficking and use of narcotic drugs and psychotropic substances (Art. 72.2)",,,,,,,,,,,,,
004,004,004,004,AGADIR,Agadir Agreement,2004,Agadir Agreement 2004.pdf,EG-JO-MA-TN,EG-JO-MA-TN,0,1,2006,0,,0,,,,Agadir (Egypt Jordan Morocco Tunisia),Arab Mediterranean FTA (Agadir Agreement) ,FTA,2,,,2,4,6,3,6,2,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,1,commodities not covered for environmental reasons (Art. 19),1,Economic and Social Committee of the Arab League (Art. 19),0,,0,,0,,0,,1,Commodities not covered for security reasons (Art. 19),1,Economic and Social Committee of the Arab League (Art. 19),"Social development such as support standard of living (Art. 2); economic development such as support employment or develop economic activity (Art. 2), commodities not covered for religious and health reasons (Art. 19)",,,,,,,,,,,,,
005,005,005,005,ALB_BIH,Albania Bosnia and Herzegovina,2003,Albania Bosnia Herzegovina 2004.pdf,AL-BA,AL-BA,0,1,2004,1,2007,1,Albania Bosnia and Herzegovina,14-Dec-04,GATT Art. XXIV,,Albania Bosnia+Herzegovina,FTA,2,FTA,2,1,2,1,3,1,2,0,0,1,0,0,0,1,1,0,1,0,Respect for fundamental principles of democracy and human rights; Agreement shall contribute to theParties process of integration in Europe,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,Improvement of living standards and increase of employment (Art. 1),,,,,,,,,,,,,
006,006,006,006,ALB_BGR,Albania Bulgaria,2003,Albania Bulgaria 2003.pdf,AL-BG,AL-BG,0,1,2003,1,2006,1,Albania Bulgaria,31-Mar-04,GATT Art. XXIV,Albania-Buglaria,Albania Bulgaria,FTA,2,FTA,2,1,2,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,1,"Restrictions on imports, exports or goods in transit, justified on grounds of environment (added to Exceptions) (Art. 21)",0,,0,,0,,0,,0,,0,,0,,Raising the living standard (Art. 1),,,,,,,,,,,,,
