HS 2012 Product Code,HS 2012 Product Description,HS 1988/92 Product Code,HS 1988/92 Product Description
010121,Pure-bred breeding animals,010111,Live pure bred breeding horses
010129,Other,010119,"Live horses, other than for pure-bred breeding"
010130,Asses,010120,Live asses mules and hinnies
010190,Other,010120,Live asses mules and hinnies
010221,Pure-bred breeding animals,010210,Live pure-bred breeding bovine animals
010229,Other,010290,"Live bovine animals, other than pure-bred breed"
010231,Pure-bred breeding animals,010210,Live pure-bred breeding bovine animals
010239,Other,010290,"Live bovine animals, other than pure-bred breed"
010290,Other,010290,"Live bovine animals, other than pure-bred breed"
010310,Pure-bred breeding animals,010310,Live pure-bred breeding swine
010391,Weighing less than 50 kg,010391,Live swine weighing <50kg (excl. pure-bred bree
010392,Weighing 50 kg or more,010392,Live swine weighing >=50kg (excl. pure-bred bre
010410,Sheep,010410,Live sheep
010420,Goats,010420,Live goats
010511,Fowls of the species Gallus domesticus,010511,"Live fowls of species Gallus domesticus, weighi"
010512,Turkeys,010519,"Live ducks, geese, turkeys and guinea fowls, we"
010513,Ducks,010519,"Live ducks, geese, turkeys and guinea fowls, we"
010514,Geese,010519,"Live ducks, geese, turkeys and guinea fowls, we"
010515,Guinea fowls,010519,"Live ducks, geese, turkeys and guinea fowls, we"
010594,Fowls of the species Gallus domesticus,010591,Live fowls of species Gallus domesticus (chicke
010599,Other,010599,"Live ducks, geese, turkeys and guinea fowls, we"
010611,Primates,010600,"Other live animals, nes"
010612,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",010600,"Other live animals, nes"
010613,Camels and other camelids (Camelidae),010600,"Other live animals, nes"
010614,Rabbits and hares,010600,"Other live animals, nes"
010619,Other,010600,"Other live animals, nes"
010620,Reptiles (including snakes and turtles),010600,"Other live animals, nes"
010631,Birds of prey,010600,"Other live animals, nes"
010632,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)",010600,"Other live animals, nes"
010633,Ostriches; emus (Dromaius novaehollandiae),010600,"Other live animals, nes"
010639,Other,010600,"Other live animals, nes"
010641,Bees,010600,"Other live animals, nes"
010649,Other,010600,"Other live animals, nes"
010690,Other,010600,"Other live animals, nes"
020110,Carcasses and half-carcasses,020110,Fresh or chilled bovine carcasses and half carc
020120,Other cuts with bone in,020120,Fresh or chilled unboned bovine meat (excl. car
020130,Boneless,020130,Fresh or chilled boneless bovine meat
020210,Carcasses and half-carcasses,020210,Frozen bovine carcasses and half carcasses
020220,Other cuts with bone in,020220,Frozen unboned bovine meat (excl. carcasses)
020230,Boneless,020230,Frozen boneless bovine meat
020311,Carcasses and half-carcasses,020311,Fresh or chilled swine carcasses and half carca
020312,"Hams, shoulders and cuts thereof, with bone in",020312,"Fresh or chilled unboned hams, shoulders and cu"
